,source,target,with_ch
327,Captain America (Ultimate),4 of 5 - Magnetic North,"['Cannonball', 'Captain America (Ultimate)', 'Emma Frost', 'Iceman (Ultimate)', 'Jean Grey (Ultimate)', 'Quicksilver (Ultimate)', 'Ultimates', 'Wasp (Ultimate)']"
328,Captain America (Ultimate),2 of 2 - Thor War,['Captain America (Ultimate)']
329,Captain America (Ultimate),2 of 5 - 5XLS,"['Agent Zero', 'Captain America (Ultimate)', 'Fantomex']"
330,Captain America (Ultimate),3 of 5 - 5XLS,"['Captain America (Ultimate)', 'Invisible Woman (Ultimate)', 'Sally Floyd']"
331,Captain America (Ultimate),4 of 5 - 5XLS,"['Captain America (Ultimate)', 'Sally Floyd']"
332,Captain America (Ultimate),5 of 5 - 5XLS,['Captain America (Ultimate)']
333,Dagger,"""In Darkness Seldom Seen!""",['Dagger']
334,Dagger,Stalkers In the Shadows,['Dagger']
335,Dagger,Crime and Punishment,['Dagger']
336,Dagger,The Burrowers,"['Dagger', 'Ulik']"
337,Daily Bugle,,"['Baron Strucker', 'Daily Bugle', 'Gargoyle (Isaac Christians)', 'Gargoyle (Isaac Christians)', 'Immortus', 'Immortus', 'Paladin', 'War Machine (James Rhodes)', 'War Machine (James Rhodes)', 'War Machine (James Rhodes)', 'Zombie (Simon Garth)']"
338,Daimon Hellstrom,The Double,['Daimon Hellstrom']
339,Daimon Hellstrom,Sanctuary,['Daimon Hellstrom']
340,Daimon Hellstrom,Savior,['Daimon Hellstrom']
341,Daimon Hellstrom,Wolverine #6,['Daimon Hellstrom']
342,Daimon Hellstrom,Interior #74619,['Daimon Hellstrom']
343,Daken,Thor (2007) #600,['Daken']
344,Dakota North,Interior #50213,['Dakota North']
345,Dakota North,interior to Cage (1992) #4,['Dakota North']
346,Dakota North,interior to Cage (1992) #11,['Dakota North']
347,Dakota North,interior to Cage (1992) #13,['Dakota North']
348,Dakota North,interior to Cage (1992) #19,['Dakota North']
349,Dakota North,interior to Cage (1992) #20,['Dakota North']
350,Damage Control,Overture,"['Damage Control', 'Famine', 'War (Abraham Kieros)', 'Warpath']"
351,Dani Moonstar,Interior #3358,"['Dani Moonstar', 'Elixir', 'New X-Men', 'Tag', 'Wallflower']"
352,Dani Moonstar,Interior #3362,"['Dani Moonstar', 'Elixir', 'New X-Men', 'Tag', 'Wallflower']"
353,Dani Moonstar,Interior #3364,"['Dani Moonstar', 'New Mutants', 'New X-Men']"
354,Dani Moonstar,"""CHOOSING SIDES"" PART 5 (OF 6) The school is divided over the fate of young Kevin Ford, the mutant whose very touch can kill. Wi","['Dani Moonstar', 'Elixir', 'New X-Men', 'Wallflower']"
355,Dani Moonstar,"""CHOOSING SIDES"" PART 6 (OF 6) The battle over the fate of young Kevin Ford turns explosive as the New Mutants go head-to-head w","['Dani Moonstar', 'Elixir', 'Wallflower']"
356,Dani Moonstar,2 of 3 Haunting at Xaviers,"['Dani Moonstar', 'Elixir', 'Wallflower']"
357,Dani Moonstar,3 of 3 Haunting at Xaviers,"['Dani Moonstar', 'Elixir', 'Wallflower']"
358,Dani Moonstar,1 of 2 - Too Much Information,"['Dani Moonstar', 'Elixir', 'Wallflower']"
359,Daredevil,Interior #533,"['Daredevil', 'Jack Murdock']"
360,Daredevil,Interior #534,"['Daredevil', 'Karen Page']"
361,Daredevil,Interior #535,"['Daredevil', 'Fantastic Four', 'Karen Page']"
362,Daredevil,Interior #537,"['Daredevil', 'Electro', 'Karen Page']"
363,Daredevil,Interior #538,"['Daredevil', 'Karen Page']"
364,Daredevil,Interior #539,"['Daredevil', 'Karen Page']"
365,Daredevil,Interior #547,['Daredevil']
366,Daredevil,2 of 4 - Golden Age,['Daredevil']
367,Daredevil,Interior #1057,['Daredevil']
368,Daredevil,Interior #1059,['Daredevil']
369,Daredevil,Interior #1061,['Daredevil']
370,Daredevil,Interior #1063,['Daredevil']
371,Daredevil,Interior #1065,['Daredevil']
372,Daredevil (Ultimate),1 of 5 - Ultimate Knights,"['Daredevil (Ultimate)', 'J. Jonah Jameson']"
373,Daredevil (Ultimate),2 of 5 - Ultimate Knights,['Daredevil (Ultimate)']
374,Daredevil (Ultimate),4 of 5 - Ultimate Knights,['Daredevil (Ultimate)']
375,Daredevil (Ultimate),Interior #31216,"['Daredevil (Ultimate)', 'Elektra (Ultimate)']"
376,Daredevil (Ultimate),Interior #31218,"['Daredevil (Ultimate)', 'Elektra (Ultimate)']"
377,Daredevil (Ultimate),Interior #31220,"['Daredevil (Ultimate)', 'Elektra (Ultimate)']"
378,Daredevil (Ultimate),Interior #31222,"['Daredevil (Ultimate)', 'Elektra (Ultimate)']"
379,Dargo Ktor,Thor (1966) #440,['Dargo Ktor']
380,Dark Avengers,Interior #51391,['Dark Avengers']
381,Dark Avengers,Interior #52383,['Dark Avengers']
382,Dark Avengers,2 of 6,"['Dark Avengers', 'Namorita', 'New Warriors', 'Red Ghost', 'U.S. Agent', 'Yellowjacket (Hank Pym)', 'Young Avengers']"
383,Dark Avengers,3 of 6,"['Dark Avengers', 'Namorita', 'New Warriors', 'U.S. Agent']"
384,Dark Avengers,Interior #52857,['Dark Avengers']
385,Dark Avengers,Interior #53257,['Dark Avengers']
386,Dark Avengers,4 of 6,"['Dark Avengers', 'Namorita', 'New Warriors', 'Terrax', 'X-Force']"
387,Dark Avengers,5 of 6,"['Dark Avengers', 'Namorita', 'New Warriors', 'X-Force']"
388,Dark Avengers,Interior #53665,['Dark Avengers']
389,Dark Avengers,4XLS 2 of 4,['Dark Avengers']
390,Dark Avengers,Amazing Spider-Man (1999) #596 - Int,['Dark Avengers']
391,Dark Avengers,Amazing Spider-Man (1999) #597 - Int,['Dark Avengers']
392,Dark Avengers,Interior #54830,['Dark Avengers']
393,Dark Avengers,Interior #54832,['Dark Avengers']
394,Dark Avengers,Interior #54834,['Dark Avengers']
395,Dark Avengers,Interior #54836,['Dark Avengers']
396,Dark Avengers,Interior #54838,['Dark Avengers']
397,Dark Beast,Interior #59245,"['Dark Beast', 'Dark X-Men', 'H.A.M.M.E.R.']"
398,Dark Beast,Interior #59257,"['Dark Beast', 'Fantomex']"
399,Dark Beast,Interior #78009,['Dark Beast']
400,Dark Beast,Interior #78019,['Dark Beast']
401,Dark Beast,Interior #80022,['Dark Beast']
402,Dark Beast,Interior #94637,['Dark Beast']
403,Dark Beast,story from Astonishing X-Men (2004) #60,"['Dark Beast', 'James Howlett']"
404,Dark Beast,story from Astonishing X-Men (2004) #61,"['Dark Beast', 'James Howlett']"
405,Dark Beast,interior to Storm (1996) #4,['Dark Beast']
406,Dark Phoenix,Bless the Beasts and Children,['Dark Phoenix']
407,Dark Phoenix,Phoenix,"['Dark Phoenix', 'Raza']"
408,Dark Phoenix,"I Am Not Now, Nor Have I Ever Been...","['Dark Phoenix', 'X-Man']"
409,Dark Phoenix,A Villains Gallery,['Dark Phoenix']
410,Dark Phoenix,X-Villains,['Dark Phoenix']
411,Dark Phoenix,The Destine's Darkest Dreams,"['Dark Phoenix', 'Newton Destine']"
412,Dark Phoenix,Changes !,"['Dark Phoenix', 'Leech', 'Madelyne Pryor']"
413,Dark Phoenix,"Iron Age: Alpha (2010) #1, Segovia Variant",['Dark Phoenix']
414,Dark X-Men,Interior #59245,"['Dark Beast', 'Dark X-Men', 'H.A.M.M.E.R.']"
415,Dark X-Men,Interior #59247,['Dark X-Men']
416,Dark X-Men,Interior #62569,['Dark X-Men']
417,Dark X-Men,Interior #62571,['Dark X-Men']
418,Dark X-Men,Interior #62573,['Dark X-Men']
419,Dark X-Men,Interior #62575,['Dark X-Men']
420,Dark X-Men,Interior #62577,['Dark X-Men']
421,Darkhawk,Once an Avenger...,"['Darkhawk', 'Firebird', 'Machine Man', 'Magdalene', 'Rage']"
422,Darkhawk,The Call,"['Darkhawk', 'Firebird', 'Machine Man', 'Magdalene']"
423,Darkhawk,Fata Morgana,"['Darkhawk', 'Firebird', 'Machine Man', 'Magdalene']"
424,Darkhawk,Too Many Avengers!,"['Darkhawk', 'Firebird', 'Magdalene']"
425,Darkhawk,Prisoners: A Love Story,['Darkhawk']
426,Darkstar,Good Dreams!,"['Absorbing Man', 'Darkstar', 'Kang', 'Uatu The Watcher']"
427,Darkstar,One Man's Son Is Another Man's Poison!,['Darkstar']
428,Darkstar,The Creature Called...Swarm!,['Darkstar']
429,Darkstar,Death Drone!,['Darkstar']
430,Darkstar,The Sentinels Hunt Again!,['Darkstar']
431,Darkstar,Illegal Aliens,"['Darkstar', 'Namorita', 'X-Man']"
432,Darkstar,Whatever the Cost!,"['Darkstar', 'Quasar (Phyla-Vell)']"
433,Darkstar,Whatever Happened To the Iceman?,['Darkstar']
434,Darkstar,Weapon Twelve,['Darkstar']
435,Darkstar,Fantomex,['Darkstar']
436,Darkstar,New Worlds,['Darkstar']
437,Darkstar,No More Tomorrows,"['Darkstar', 'Firebird']"
438,Darkstar,The Doomsday Connection!,['Darkstar']
439,Darkstar,In the Belly of the Beast!,['Darkstar']
440,Darkstar,Field of Honor,['Darkstar']
441,Earthquake,The Fate of the Phoenix!,"['Earthquake', 'Oracle', 'Tempest', 'Warstar']"
442,Earthquake,The Darkest Hour,"['Earthquake', 'Oracle', 'Tempest', 'Warstar']"
443,Earthquake,The Path Not Taken,"['Earthquake', 'Oracle', 'Raza', 'Tempest', 'Warstar']"
444,Echo,Parts of a Hole Part 3: Dinner and a Movie,['Echo']
445,Echo,Gun Play,['Echo']
446,Echo,Parts of a Hole Part 4: Trial and Error,['Echo']
447,Echo,Parts of a Hole Part 5: An Object in Motion,['Echo']
448,Echo,Parts of a Hole Conclusion: Vision,['Echo']
449,Echo,Wake Up Part 2,['Echo']
450,Echo,Echo Part One,['Echo']
451,Echo,Echo Part 2,['Echo']
452,Echo,Parts of a Hole Part 1: Murdock's Law,['Echo']
453,Echo,Venom Bomb 2 of 5,"['Echo', 'Scarlet Spider (Ben Reilly)']"
454,Eddie Brock,Amazing Spider-Man (1963) #300,['Eddie Brock']
455,Eddie Brock,interior to Revenge of the Green Goblin #1,['Eddie Brock']
456,Edwin Jarvis,2 of 8 - 8XLS,"['Edwin Jarvis', 'Wasp']"
457,Edwin Jarvis,5 of 8 - 8XLS,"['Baron Zemo (Heinrich Zemo)', 'Edwin Jarvis', 'Jasper Sitwell', 'Quicksilver', 'Wasp', 'Yellowjacket (Hank Pym)']"
458,Edwin Jarvis,6 of 8 - 8XLS,"['Baron Zemo (Heinrich Zemo)', 'Edwin Jarvis', 'Quicksilver', 'Yellowjacket (Hank Pym)']"
459,Edwin Jarvis,7 of 8 - 8XLS,"['Edwin Jarvis', 'Quicksilver', 'Yellowjacket (Hank Pym)']"
460,Edwin Jarvis,8 of 8 - 8XLS,"['Edwin Jarvis', 'Quicksilver']"
461,Edwin Jarvis,Interior #4667,"['Edwin Jarvis', 'J. Jonah Jameson']"
462,Edwin Jarvis,3 of 3 - Jumping the Tracks,['Edwin Jarvis']
463,Ego,Interstellar Intrigues,['Ego']
464,Ego,Interior #55558,['Ego']
465,Ego,Interior #55560,['Ego']
466,Ego,story from Marvel's Guardians of the Galaxy: The Art of the Movie (2017),['Ego']
467,Electro,Interior #537,"['Daredevil', 'Electro', 'Karen Page']"
468,Electro,Amazing Spider-Man (1963) #423,['Electro']
469,Electro,Amazing Spider-Man (1963) #425,['Electro']
470,Electro,The Man Called Electro!,['Electro']
471,Electro,The Evil Menace of Electro!,['Electro']
472,Electro,"From Stage Left, Enter Electro",['Electro']
473,Electro,Who Guards the Guardsmen?,['Electro']
474,Electro,Ray of Light,['Electro']
475,Electro (Ultimate),[,"['Electro (Ultimate)', 'George Stacy (Ultimate)', 'George Stacy (Ultimate)', 'George Stacy (Ultimate)']"
476,Elektra,Interior #605,['Elektra']
477,Elektra,1 of 6,"['Elektra', 'Namorita', 'New Warriors', 'Young Avengers']"
478,Elektra,Interior #1652,['Elektra']
479,Elektra,Interior #1654,['Elektra']
480,Elektra,Interior #1656,['Elektra']
481,Elektra,Interior #1898,['Elektra']
482,Elektra,Interior #1900,['Elektra']
483,Elektra,Interior #1915,['Elektra']
484,Elektra,Interior #2063,['Elektra']
485,Elektra,Interior #2065,['Elektra']
486,Elektra (Ultimate),Interior #31216,"['Daredevil (Ultimate)', 'Elektra (Ultimate)']"
487,Elektra (Ultimate),Interior #31218,"['Daredevil (Ultimate)', 'Elektra (Ultimate)']"
488,Elektra (Ultimate),Interior #31220,"['Daredevil (Ultimate)', 'Elektra (Ultimate)']"
489,Elektra (Ultimate),Interior #31222,"['Daredevil (Ultimate)', 'Elektra (Ultimate)']"
490,Elixir,1 of 3 Haunting at Xaviers,"['Elixir', 'New X-Men', 'Wallflower']"
491,Elixir,Interior #3358,"['Dani Moonstar', 'Elixir', 'New X-Men', 'Tag', 'Wallflower']"
492,Elixir,Interior #3360,"['Elixir', 'New X-Men', 'Wallflower']"
493,Elixir,Interior #3362,"['Dani Moonstar', 'Elixir', 'New X-Men', 'Tag', 'Wallflower']"
494,Elixir,"""CHOOSING SIDES"" PART 5 (OF 6) The school is divided over the fate of young Kevin Ford, the mutant whose very touch can kill. Wi","['Dani Moonstar', 'Elixir', 'New X-Men', 'Wallflower']"
495,Elixir,"""CHOOSING SIDES"" PART 6 (OF 6) The battle over the fate of young Kevin Ford turns explosive as the New Mutants go head-to-head w","['Dani Moonstar', 'Elixir', 'Wallflower']"
496,Elixir,2 of 3 Haunting at Xaviers,"['Dani Moonstar', 'Elixir', 'Wallflower']"
497,Elixir,3 of 3 Haunting at Xaviers,"['Dani Moonstar', 'Elixir', 'Wallflower']"
498,Elixir,1 of 2 - Too Much Information,"['Dani Moonstar', 'Elixir', 'Wallflower']"
499,Elsa Bloodstone,story from Agents of S.M.a.S.H. (2016) #3,['Elsa Bloodstone']
500,Elsa Bloodstone,story from Monsters Unleashed (2017) #1,['Elsa Bloodstone']
501,Emma Frost,Interior #554,['Emma Frost']
502,Emma Frost,Interior #559,['Emma Frost']
503,Emma Frost,Interior #560,['Emma Frost']
504,Emma Frost,Interior #606,['Emma Frost']
505,Emma Frost,Interior #607,['Emma Frost']
506,Emma Frost,1 of 2 - Mojo Rising,"['Emma Frost', 'Rachel Grey', 'Sabretooth', 'Sage', 'Vargas', 'X-23']"
507,Emma Frost,2 of 2 - Mojo Rising,"['Beast', 'Emma Frost', 'Rachel Grey', 'Vargas']"
508,Emma Frost,3 of 3 - Grey's End,"['Emma Frost', 'Gambit', 'Rachel Grey']"
509,Emma Frost,1 of 5 - Escape of Magneto,"['Emma Frost', 'Iceman (Ultimate)', 'Jean Grey (Ultimate)']"
510,Emma Frost,2 of 5 - Escape of Magneto,"['Cannonball', 'Emma Frost', 'Quicksilver (Ultimate)']"
511,Emma Frost,4 of 5 - Magnetic North,"['Cannonball', 'Captain America (Ultimate)', 'Emma Frost', 'Iceman (Ultimate)', 'Jean Grey (Ultimate)', 'Quicksilver (Ultimate)', 'Ultimates', 'Wasp (Ultimate)']"
512,Emma Frost,5 of 5 - Magnetic North,"['Emma Frost', 'Iceman (Ultimate)', 'Jean Grey (Ultimate)']"
513,Empath,Empath,['Empath']
514,Empath,Faith,['Empath']
515,Empath,Warhunt 2,"['Callisto', 'Empath']"
516,Empath,Fresh Upstart,"['Empath', 'Lady Deathstrike', 'Tarot']"
517,Empath,Intifada Part 1: This is the Way the World Ends,['Empath']
518,Empath,Child's Play Part 1: First Move With a Roll of the Dice,['Empath']
519,Empath,Child's Play Part 3: Rules Were Made to Be Broken,['Empath']
520,Empath,Guns and Poses,['Empath']
521,Empath,1 of 4,"['Empath', 'Madelyne Pryor', 'Vanisher (Telford Porter)', 'Young Avengers']"
522,Empath,Interior #53753,['Empath']
523,Empath,Interior #83111,['Empath']
524,Emplate,Racing the Night,"['Banshee (Theresa Rourke)', 'Emplate', 'Warpath', 'X-Man']"
525,Enchantress (Amora),The Wall Around the World!,['Enchantress (Amora)']
526,Enchantress (Amora),Holocaust and Homecoming!,['Enchantress (Amora)']
527,Enchantress (Amora),Thou Shalt Have No Other Gods Before Me!,['Enchantress (Amora)']
528,Enchantress (Amora),Requiem for the Wrecker,"['Enchantress (Amora)', 'Ulik']"
529,Enchantress (Amora),The Power of Thor,['Enchantress (Amora)']
530,Enchantress (Amora),Clash With Quasar,"['Enchantress (Amora)', 'Quasar (Wendell Vaughn)']"
531,Enchantress (Amora),Thor (1966) #496,['Enchantress (Amora)']
532,Enchantress (Amora),pin-up,"['Enchantress (Amora)', 'Gargoyle', 'Killraven', 'Satana']"
533,Enchantress (Amora),Some Enchantress Evening,['Enchantress (Amora)']
534,Fabian Cortez,Legacies,['Fabian Cortez']
535,Fabian Cortez,Dominion!,['Fabian Cortez']
536,Fabian Cortez,Province,['Fabian Cortez']
537,Falcon,5 of 6 - Winter Soldier,['Falcon']
538,Falcon,6 of 6 - Winter Soldier,['Falcon']
539,Falcon,2 of 6 - Death of the Dream,['Falcon']
540,Falcon,[Extortion for a Bail-Out],['Falcon']
541,Falcon,The Assassin Never Fails!,['Falcon']
542,Falcon,The Summons of Psyklop,['Falcon']
543,Famine,"Whose Death Is It, Anyway?","['Famine', 'War (Abraham Kieros)']"
544,Famine,"Die, Mutants, Die!","['Caliban', 'Famine', 'Pestilence', 'War (Abraham Kieros)']"
545,Famine,All Together Now!,"['Caliban', 'Famine', 'Pestilence']"
546,Famine,For Every Action...,"['Caliban', 'Famine', 'Pestilence']"
547,Famine,If I Should Die...,"['Caliban', 'Famine', 'Pestilence']"
548,Famine,You Say You Want Some Evolution?,"['Caliban', 'Famine', 'Pestilence']"
549,Famine,Masks,"['Caliban', 'Famine', 'Pestilence', 'War (Abraham Kieros)']"
550,Famine,Judgement Day!,"['Caliban', 'Famine', 'Pestilence', 'War (Abraham Kieros)']"
551,Famine,Casualties,"['Caliban', 'Famine', 'War (Abraham Kieros)']"
552,Famine,Gifts!,"['Famine', 'Pestilence', 'War (Abraham Kieros)']"
553,Famine,Guardian,"['Famine', 'Pestilence', 'War (Abraham Kieros)']"
554,Famine,Tough Love,"['Banshee (Theresa Rourke)', 'Famine', 'War (Abraham Kieros)']"
555,Famine,Overture,"['Damage Control', 'Famine', 'War (Abraham Kieros)', 'Warpath']"
556,Famine,Familiar Refrain,"['Famine', 'War (Abraham Kieros)', 'Warpath']"
557,Fantastic Four,Interior #513,['Fantastic Four']
558,Fantastic Four,Interior #535,"['Daredevil', 'Fantastic Four', 'Karen Page']"
559,Fantastic Four,Interior #563,['Fantastic Four']
560,Fantastic Four,Interior #592,['Fantastic Four']
561,Fantastic Four,Interior #799,"['Fantastic Four', 'Invisible Woman', 'Nick Fury']"
562,Fantastic Four,Interior #801,"['Fantastic Four', 'Invisible Woman', 'Nick Fury']"
563,Fantastic Four,Interior #803,"['Fantastic Four', 'Invisible Woman', 'Valeria Richards']"
564,Fantastic Four,1 of 5 - Galactus,"['Fantastic Four', 'Galactus', 'Invisible Woman', 'Quasar (Wendell Vaughn)']"
565,Fantastic Four,Interior #913,"['Fantastic Four', 'Invisible Woman', 'Valeria Richards']"
566,Fantastic Four,Interior #915,"['Fantastic Four', 'Invisible Woman']"
567,Fantastic Four,Interior #917,"['Fantastic Four', 'Invisible Woman']"
568,Fantastic Four,Interior #919,"['Fantastic Four', 'Invisible Woman', 'Valeria Richards']"
569,Fantastic Four (Ultimate),Interior #489,"['Fantastic Four (Ultimate)', 'Iceman (Ultimate)', 'Invisible Woman (Ultimate)', 'Jean Grey (Ultimate)', 'X-Men (Ultimate)']"
570,Fantastic Four (Ultimate),1 of 2 - Human Torch,"['Fantastic Four (Ultimate)', 'Peter Parker']"
571,Fantastic Four (Ultimate),5 of ? - The Clone Saga,"['Fantastic Four (Ultimate)', 'Peter Parker']"
572,Fantastic Four (Ultimate),6 of ? - The Clone Saga,"['Fantastic Four (Ultimate)', 'Peter Parker']"
573,Fantastic Four (Ultimate),7 of 8 - The Clone Saga,"['Fantastic Four (Ultimate)', 'Peter Parker', 'X-Men (Ultimate)']"
574,Fantastic Four (Ultimate),8 of 8 - The Clone Saga,"['Fantastic Four (Ultimate)', 'Peter Parker']"
575,Fantastic Four (Ultimate),Interior #1837,['Fantastic Four (Ultimate)']
576,Fantastic Four (Ultimate),Interior #2125,['Fantastic Four (Ultimate)']
577,Fantastic Four (Ultimate),Interior #2638,['Fantastic Four (Ultimate)']
578,Fantastic Four (Ultimate),Interior #2640,['Fantastic Four (Ultimate)']
579,Fantastic Four (Ultimate),Interior #2642,['Fantastic Four (Ultimate)']
580,Fantomex,1 of 5 - 5XLS,"['Agent Zero', 'Fantomex', 'Invisible Woman (Ultimate)']"
581,Fantomex,2 of 5 - 5XLS,"['Agent Zero', 'Captain America (Ultimate)', 'Fantomex']"
582,Fantomex,Interior #59257,"['Dark Beast', 'Fantomex']"
583,Fantomex,Interior #59259,['Fantomex']
584,Fantomex,Interior #60153,['Fantomex']
585,Fantomex,Interior #73562,"['Fantomex', 'Sabretooth (Age of Apocalypse)']"
586,Fantomex,Interior #73573,['Fantomex']
587,Fat Cobra,TBD 2 of 5,['Fat Cobra']
588,Fat Cobra,TBD 5 of 7,"['Fat Cobra', 'Jeryn Hogarth', 'Lei Kung, The Thunderer']"
589,Fat Cobra,TBD 6 of 7,"['Fat Cobra', 'Jeryn Hogarth', 'Lei Kung, The Thunderer']"
590,Fat Cobra,1 of 2,"['Fat Cobra', 'Jeryn Hogarth', 'Young Avengers']"
591,Fat Cobra,4 of 4,"['Fat Cobra', 'Lei Kung, The Thunderer']"
592,Fat Cobra,Interior #54878,"['Fat Cobra', 'Union Jack (Montgomery Falsworth)']"
593,Fat Cobra,Interior #64737,['Fat Cobra']
594,Fat Cobra,Wolverine (2010) #18 - Int,['Fat Cobra']
595,Fat Cobra,"Wolverine (2010) #18, Mc 50th Anniversary Variant - Int",['Fat Cobra']
596,Felicia Hardy,Amazing Spider-Man (1963) #329,['Felicia Hardy']
597,Fenris,The Golden Apples,['Fenris']
598,Fenris,Interior #36758,['Fenris']
599,Fenris,What If Cable Destroyed  the X-Men,"['Fenris', 'Zaladane']"
600,Fenris,Secret Warriors (2008) #13,['Fenris']
601,Feral,King of Pain,['Feral']
602,Fin Fang Foom,*Fin Fang Foom!,['Fin Fang Foom']
603,Fin Fang Foom,Dragon Doom!,['Fin Fang Foom']
604,Fin Fang Foom,1 of 1,"['Fin Fang Foom', 'Firestar (Ultimate)', 'Gauntlet (Joseph Green)', 'Hardball', 'Hawkeye (Kate Bishop)', 'Janus, the Nega-Man', 'Layla Miller', 'U.S. Agent', 'Venom (Flash Thompson)', 'Venom (Flash Thompson)']"
605,Fin Fang Foom,Scale Model,['Fin Fang Foom']
606,Fin Fang Foom,Your Young Men Shall Slay Dragons,['Fin Fang Foom']
607,Fin Fang Foom,Sunset Intrigues (Machinery of War Part 1),['Fin Fang Foom']
608,Fin Fang Foom,Interior #81853,"['Fin Fang Foom', 'Umar']"
609,Firebird,Once an Avenger...,"['Darkhawk', 'Firebird', 'Machine Man', 'Magdalene', 'Rage']"
610,Firebird,Old Entanglements,['Firebird']
611,Firebird,The Call,"['Darkhawk', 'Firebird', 'Machine Man', 'Magdalene']"
612,Firebird,New Order,['Firebird']
613,Firebird,Fata Morgana,"['Darkhawk', 'Firebird', 'Machine Man', 'Magdalene']"
614,Firebird,Above and Beyond,['Firebird']
615,Firebird,Too Many Avengers!,"['Darkhawk', 'Firebird', 'Magdalene']"
616,Firebird,Thoom,['Firebird']
617,Firebird,The High Ground,['Firebird']
618,Firebird,No More Tomorrows,"['Darkstar', 'Firebird']"
619,Firebird,Global Presence,['Firebird']
620,Firebrand,"Firebrand, the Scourge of the Pacific","['Firebrand', 'Firebrand', 'Namora']"
621,Firebrand,The Fury of the Firebird,['Firebrand']
622,Firebrand,A Madness In Motown!,"['Firebrand', 'Pepper Potts']"
623,Firebrand,"Firebrand, the Scourge of the Pacific","['Firebrand', 'Firebrand', 'Namora']"
624,Firebrand,Trouble in Paradise,['Firebrand']
625,Firebrand,Into the Fire,['Firebrand']
626,Firebrand,story from Iron Man (2012) #3,['Firebrand']
627,Firelord,Counter-Earth Must Die--At the Hand of Galactus!,['Firelord']
628,Firelord,Where No X-Man Has Gone Before!,"['Banshee', 'Bastion', 'Firelord', 'Oracle', 'Quasar (Phyla-Vell)', 'Raza', 'Tempest']"
629,Firelord,Armageddon Now !,"['Banshee', 'Firelord', 'Raza']"
630,Firelord,Thor (1966) #232,['Firelord']
631,Firelord,Fury of the Firelord!,['Firelord']
632,Firelord,Previously in FANTASTIC FOUR,"['Firelord', 'Firelord']"
633,Firelord,Previously in FANTASTIC FOUR,"['Firelord', 'Firelord']"
634,Firestar,"""War With the New Warriors""","['Firestar', 'Namorita']"
635,Firestar,Thor (1966) #411,"['Firestar', 'Namorita', 'Penance (Robert Baldwin)']"
636,Firestar,Thor (1966) #412,"['Firestar', 'Namorita', 'Penance (Robert Baldwin)']"
637,Firestar,Kids These Days,"['Firestar', 'New Warriors', 'Rage']"
638,Firestar,Interior #19591,['Firestar']
639,Firestar,Kings of Pain Part 3: Queens of Sacrifice,"['Banshee (Theresa Rourke)', 'Cannonball', 'Firestar', 'Legion', 'Warpath']"
640,Firestar,Faith!,"['Firestar', 'Talisman (Elizabeth Twoyoungmen)']"
641,Firestar,Life During War Time Part 1: The Price of Freedom,['Firestar']
642,Firestar,Life During War Time Part 2: Things Fall Apart,['Firestar']
643,Firestar,Life During War Time Part 3: Triangle,['Firestar']
644,Firestar,Fire In The Hole [Life During War Time],['Firestar']
645,Firestar,True Colors [Life During War Time Part 5 of 8],['Firestar']
646,Firestar,Sacrifice [Life During War Time],['Firestar']
647,Firestar,Destiny Made Manifest,['Firestar']
648,Firestar,Interior #26283,"['Firestar', 'Impossible Man']"
649,Firestar (Ultimate),1 of 1,"['Fin Fang Foom', 'Firestar (Ultimate)', 'Gauntlet (Joseph Green)', 'Hardball', 'Hawkeye (Kate Bishop)', 'Janus, the Nega-Man', 'Layla Miller', 'U.S. Agent', 'Venom (Flash Thompson)', 'Venom (Flash Thompson)']"
650,Galactus,1 of 5 - Galactus,"['Fantastic Four', 'Galactus', 'Invisible Woman', 'Quasar (Wendell Vaughn)']"
651,Galactus,"AVENGERS DISASSEMBLED TIE-IN! ""FOURTITUDE"" PART 2 (OF 3) With public opinion of the FF at an all-time low and with all of Manhat","['Galactus', 'Invisible Woman', 'Valeria Richards']"
652,Galactus,"AVENGERS DISASSEMBLED TIE-IN! ""FOURTITUDE"" FINALE! PART 3 (OF 3) Galactus the World-Eater is coming to Earth to choose one of th",['Galactus']
653,Galactus,1 of 1 - Thor,['Galactus']
654,Gambit,3 of 3 - Grey's End,"['Emma Frost', 'Gambit', 'Rachel Grey']"
655,Gamora,Aftermath!,['Gamora']
656,Gamora,Guile,['Gamora']
657,Gamora,Reunion,"['Gamora', 'Raza', 'Sauron', 'Valkyrie (Samantha Parrington)']"
658,Gargoyle,pin-up,"['Enchantress (Amora)', 'Gargoyle', 'Killraven', 'Satana']"
659,Gargoyle,story from Ziggy Pig and Silly Seal Infinity Comic (2022) #4,['Gargoyle']
660,Gargoyle (Isaac Christians),,"['Baron Strucker', 'Daily Bugle', 'Gargoyle (Isaac Christians)', 'Gargoyle (Isaac Christians)', 'Immortus', 'Immortus', 'Paladin', 'War Machine (James Rhodes)', 'War Machine (James Rhodes)', 'War Machine (James Rhodes)', 'Zombie (Simon Garth)']"
661,Gargoyle (Isaac Christians),Interior #25635,"['Aaron Stack', 'Gargoyle (Isaac Christians)', 'Immortus']"
